[2026-02-20 00:01:55.073] [INFO    ] [Startup             ] ============================================================
[2026-02-20 00:01:55.219] [INFO    ] [Startup             ] 🚀 DÉMARRAGE AUTOREVIT EXTENSION v4.2
[2026-02-20 00:01:55.240] [INFO    ] [Startup             ] ============================================================
[2026-02-20 00:01:55.336] [INFO    ] [Startup             ] [1/4] Configuration chargée
[2026-02-20 00:01:55.340] [INFO    ] [Startup             ]   • Revit version: 2024
[2026-02-20 00:01:55.343] [INFO    ] [Startup             ]   • API URL: https://autorevit-production.up.railway.app/api/v1
[2026-02-20 00:01:55.346] [INFO    ] [Startup             ]   • Cache dir: C:/Users/ben-y/AppData/Roaming/pyRevit/AutoRevit/cache
[2026-02-20 00:01:55.349] [INFO    ] [Startup             ] [2/4] Vérification session...
[2026-02-20 00:01:55.481] [INFO    ] [Startup             ]   • Session trouvée: Non
[2026-02-20 00:01:55.484] [INFO    ] [Startup             ]   • Config UI en cache: Oui
[2026-02-20 00:01:55.487] [INFO    ] [Startup             ] [3/4] Aucune session active
[2026-02-20 00:01:55.489] [INFO    ] [Startup             ]   → Suppression des panels dynamiques...
[2026-02-20 00:01:55.652] [INFO    ] [Startup             ] Panels dynamiques nettoyés
[2026-02-20 00:01:55.659] [INFO    ] [Startup             ] ============================================================
[2026-02-20 00:01:55.662] [INFO    ] [Startup             ] ✅ AUTOREVIT INITIALISÉ (mode déconnecté)
[2026-02-20 00:01:55.667] [INFO    ] [Startup             ]   → Cliquez sur 'Se connecter' pour charger vos panels
[2026-02-20 00:01:55.671] [INFO    ] [Startup             ] ============================================================
[2026-02-20 00:03:22.099] [INFO    ] [Login               ] 📥 Téléchargement configuration UI...
[2026-02-20 00:03:29.698] [INFO    ] [Login               ] ✅ Config UI récupérée (10 panels)
[2026-02-20 00:03:29.939] [INFO    ] [ui.ribbon_builder   ] RibbonBuilder v4.8 initialise - user: admin role: admin
[2026-02-20 00:03:29.944] [INFO    ] [Login               ] 🔨 Construction des scripts...
[2026-02-20 00:03:29.950] [INFO    ] [ui.ribbon_builder   ] Construction ruban : 10 panels pour roles ['admin']
[2026-02-20 00:03:29.956] [INFO    ] [ui.ribbon_builder   ]   -> 10 panels accessibles
[2026-02-20 00:03:29.968] [INFO    ] [ui.ribbon_builder   ]   Panel cree : 01_Projet & Initialisation.panel
[2026-02-20 00:03:30.792] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : initialisation.png (2030 bytes)
[2026-02-20 00:03:30.899] [INFO    ] [ui.ribbon_builder   ]       Charger Configurer Projet : script ecrit (v69)
[2026-02-20 00:03:32.174] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : projet.png (1222 bytes)
[2026-02-20 00:03:32.266] [INFO    ] [ui.ribbon_builder   ]       Creer Niveaux Grilles : script ecrit (v5)
[2026-02-20 00:03:33.091] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : niveaux.png (883 bytes)
[2026-02-20 00:03:33.172] [INFO    ] [ui.ribbon_builder   ]     STACK cree : Importer DWG IFC Nettoyer
[2026-02-20 00:03:34.167] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : import.png (787 bytes)
[2026-02-20 00:03:34.260] [INFO    ] [ui.ribbon_builder   ]       Importer DWG : script ecrit (v3)
[2026-02-20 00:03:35.071] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : dwg.png (787 bytes)
[2026-02-20 00:03:35.148] [INFO    ] [ui.ribbon_builder   ]       Importer IFC : script ecrit (v3)
[2026-02-20 00:03:35.822] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : ifc.png (1100 bytes)
[2026-02-20 00:03:35.902] [INFO    ] [ui.ribbon_builder   ]       Nettoyer Imports : script ecrit (v2)
[2026-02-20 00:03:36.567] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : clean.png (2133 bytes)
[2026-02-20 00:03:36.641] [INFO    ] [ui.ribbon_builder   ]   Panel cree : 02_Analyse & Diagnostic.panel
[2026-02-20 00:03:37.290] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : analyse.png (1200 bytes)
[2026-02-20 00:03:37.317] [INFO    ] [ui.ribbon_builder   ]       Analyser Architecture : script ecrit (v13)
[2026-02-20 00:03:37.972] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : architecture.png (1065 bytes)
[2026-02-20 00:03:38.000] [INFO    ] [ui.ribbon_builder   ]       Detecter Murs Porteurs : script ecrit (v10)
[2026-02-20 00:03:38.812] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : murs.png (919 bytes)
[2026-02-20 00:03:38.915] [INFO    ] [ui.ribbon_builder   ]       Verifier Clash Detection : script ecrit (v3)
[2026-02-20 00:03:39.575] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : clash.png (1059 bytes)
[2026-02-20 00:03:39.581] [INFO    ] [ui.ribbon_builder   ]     PULLDOWN cree : Verifier Maquette Liee
[2026-02-20 00:03:40.220] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : maquette.png (973 bytes)
[2026-02-20 00:03:40.305] [INFO    ] [ui.ribbon_builder   ]       Verifier Niveaux et Alignement : script ecrit (v2)
[2026-02-20 00:03:40.992] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : niveaux_check.png (928 bytes)
[2026-02-20 00:03:41.093] [INFO    ] [ui.ribbon_builder   ]       Verifier Grilles et Axes : script ecrit (v37)
[2026-02-20 00:03:41.690] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : grilles_check.png (1137 bytes)
[2026-02-20 00:03:41.779] [INFO    ] [ui.ribbon_builder   ]       Verifier Elements Cles : script ecrit (v1)
[2026-02-20 00:03:42.552] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : elements_check.png (1201 bytes)
[2026-02-20 00:03:42.642] [INFO    ] [ui.ribbon_builder   ]       Rapport Incoherences Complet : script ecrit (v1)
[2026-02-20 00:03:43.247] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : rapport.png (697 bytes)
[2026-02-20 00:03:43.331] [INFO    ] [ui.ribbon_builder   ]   Panel cree : 03_Charges & Combinaisons.panel
[2026-02-20 00:03:43.932] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : charges.png (1341 bytes)
[2026-02-20 00:03:44.006] [INFO    ] [ui.ribbon_builder   ]       Creer Combinaisons ELU ELS : script ecrit (v1)
[2026-02-20 00:03:44.628] [INFO    ] [ui.ribbon_builder   ]       Icone telechargee : combinaisons.png (1325 bytes)
[2026-02-20 00:03:44.722] [INFO    ] [ui.ribbon_builder   ]     PULLDOWN cree : Definir Charges
