[2026-02-26 09:34:39.753] [INFO    ] [services.revit_service] RevitService initialise - Doc: VIVIENDA
[2026-02-26 09:34:39.788] [INFO    ] [services.geometry_service] GeometryService initialise
[2026-02-26 09:34:39.822] [INFO    ] [services.logging_service] LoggingService initialise - Session: a5daccc8
[2026-02-26 09:34:55.345] [INFO    ] [services.logging_service] [INFO] === Placement v4.0 - PLANT 2 (h=3000mm) ===
[2026-02-26 09:34:55.456] [INFO    ] [services.logging_service] [INFO]   Portée cible=4.0m | max=5.5m | min=2.0m
[2026-02-26 09:34:55.461] [INFO    ] [services.logging_service] [INFO]   Hauteur min mur structurel: 2.0m
[2026-02-26 09:34:55.506] [INFO    ] [services.logging_service] [INFO] Murs : 45 total | 23 structurels gardes | 21 trop bas (< 2.0m) | 1 trop courts
[2026-02-26 09:34:55.523] [INFO    ] [services.logging_service] [INFO] Groupes murs: 6 horizontaux | 10 verticaux
[2026-02-26 09:34:55.526] [INFO    ] [services.logging_service] [INFO] BBox bâtiment: X=[-10.36..7.80]m Y=[-3.62..5.84]m
[2026-02-26 09:34:55.533] [INFO    ] [services.logging_service] [INFO]   --- Murs Horizontaux ---
[2026-02-26 09:34:55.564] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=1.40m | L=4.47m | X=[-6.42..-1.95]m
[2026-02-26 09:34:55.599] [INFO    ] [services.logging_service] [INFO]     Mur 4.47m : 1 intervalles, portée 4.47m
[2026-02-26 09:34:55.617] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -6.419m -> -6.419m (dist=0.000m)
[2026-02-26 09:34:55.639] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -1.946m -> -1.946m (dist=0.000m)
[2026-02-26 09:34:55.643] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.648] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=5.04m | L=8.27m | X=[-5.14..3.13]m
[2026-02-26 09:34:55.651] [INFO    ] [services.logging_service] [INFO]     Mur 8.27m : 1 intervalles, portée 8.27m
[2026-02-26 09:34:55.654] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -5.139m -> -5.139m (dist=0.000m)
[2026-02-26 09:34:55.655] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 3.133m -> 3.133m (dist=0.000m)
[2026-02-26 09:34:55.657] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.659] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=2.49m | L=17.27m | X=[-10.36..7.80]m
[2026-02-26 09:34:55.664] [INFO    ] [services.logging_service] [INFO]     Mur 18.16m : 2 intervalles, portée 9.08m
[2026-02-26 09:34:55.667] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -10.359m -> -10.359m (dist=0.000m)
[2026-02-26 09:34:55.676] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 7.797m -> 7.797m (dist=0.000m)
[2026-02-26 09:34:55.682] [INFO    ] [services.logging_service] [INFO]     -> 3 poteaux placés
[2026-02-26 09:34:55.691] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=-0.56m | L=4.66m | X=[3.14..7.80]m
[2026-02-26 09:34:55.698] [INFO    ] [services.logging_service] [INFO]     Mur 4.66m : 1 intervalles, portée 4.66m
[2026-02-26 09:34:55.707] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 3.137m -> 3.133m (dist=0.004m)
[2026-02-26 09:34:55.713] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 7.797m -> 7.797m (dist=0.000m)
[2026-02-26 09:34:55.721] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.726] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=5.80m | L=4.66m | X=[3.13..7.80]m
[2026-02-26 09:34:55.731] [INFO    ] [services.logging_service] [INFO]     Mur 4.66m : 1 intervalles, portée 4.66m
[2026-02-26 09:34:55.738] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 3.133m -> 3.133m (dist=0.000m)
[2026-02-26 09:34:55.754] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.762] [INFO    ] [services.logging_service] [INFO]   Mur H : Y=-2.33m | L=12.35m | X=[-10.36..-1.95]m
[2026-02-26 09:34:55.767] [INFO    ] [services.logging_service] [INFO]     Mur 8.41m : 1 intervalles, portée 8.41m
[2026-02-26 09:34:55.777] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -10.359m -> -10.359m (dist=0.000m)
[2026-02-26 09:34:55.785] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -1.946m -> -1.946m (dist=0.000m)
[2026-02-26 09:34:55.789] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.796] [INFO    ] [services.logging_service] [INFO]   --- Murs Verticaux ---
[2026-02-26 09:34:55.801] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-3.03m | L=2.55m | Y=[2.49..5.04]m
[2026-02-26 09:34:55.808] [INFO    ] [services.logging_service] [INFO]     Mur 2.55m : 1 intervalles, portée 2.55m
[2026-02-26 09:34:55.814] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 2.493m -> 2.493m (dist=0.000m)
[2026-02-26 09:34:55.818] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 5.043m -> 5.043m (dist=0.000m)
[2026-02-26 09:34:55.825] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.832] [INFO    ] [services.logging_service] [INFO]   Mur V : X=3.13m | L=6.24m | Y=[-1.49..5.84]m
[2026-02-26 09:34:55.839] [INFO    ] [services.logging_service] [INFO]     Mur 7.33m : 1 intervalles, portée 7.33m
[2026-02-26 09:34:55.845] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 5.841m -> 5.798m (dist=0.043m)
[2026-02-26 09:34:55.851] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.858] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-1.95m | L=6.11m | Y=[-3.62..2.49]m
[2026-02-26 09:34:55.865] [INFO    ] [services.logging_service] [INFO]     Mur 6.11m : 1 intervalles, portée 6.11m
[2026-02-26 09:34:55.872] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 2.493m -> 2.493m (dist=0.000m)
[2026-02-26 09:34:55.879] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.887] [INFO    ] [services.logging_service] [INFO]   Mur V : X=7.80m | L=7.29m | Y=[-1.49..5.80]m
[2026-02-26 09:34:55.892] [INFO    ] [services.logging_service] [INFO]     Mur 7.29m : 1 intervalles, portée 7.29m
[2026-02-26 09:34:55.900] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 5.798m -> 5.798m (dist=0.000m)
[2026-02-26 09:34:55.922] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.930] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-10.36m | L=6.01m | Y=[-3.52..2.49]m
[2026-02-26 09:34:55.937] [INFO    ] [services.logging_service] [INFO]     Mur 6.01m : 1 intervalles, portée 6.01m
[2026-02-26 09:34:55.943] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.948] [INFO    ] [services.logging_service] [INFO]   Mur V : X=0.25m | L=2.55m | Y=[2.49..5.04]m
[2026-02-26 09:34:55.954] [INFO    ] [services.logging_service] [INFO]     Mur 2.55m : 1 intervalles, portée 2.55m
[2026-02-26 09:34:55.960] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 2.493m -> 2.493m (dist=0.000m)
[2026-02-26 09:34:55.967] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 5.043m -> 5.043m (dist=0.000m)
[2026-02-26 09:34:55.973] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:55.980] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-5.14m | L=2.55m | Y=[2.49..5.04]m
[2026-02-26 09:34:55.986] [INFO    ] [services.logging_service] [INFO]     Mur 2.55m : 1 intervalles, portée 2.55m
[2026-02-26 09:34:55.992] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 2.493m -> 2.493m (dist=0.000m)
[2026-02-26 09:34:55.999] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:56.007] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-4.30m | L=3.73m | Y=[-2.33..1.40]m
[2026-02-26 09:34:56.015] [INFO    ] [services.logging_service] [INFO]     Mur 3.73m : 1 intervalles, portée 3.73m
[2026-02-26 09:34:56.024] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -2.329m -> -2.329m (dist=0.000m)
[2026-02-26 09:34:56.030] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : 1.398m -> 1.398m (dist=0.000m)
[2026-02-26 09:34:56.035] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:56.042] [INFO    ] [services.logging_service] [INFO]   Mur V : X=4.17m | L=2.44m | Y=[0.75..3.32]m
[2026-02-26 09:34:56.049] [INFO    ] [services.logging_service] [INFO]     Mur 2.57m : 1 intervalles, portée 2.57m
[2026-02-26 09:34:56.057] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:56.065] [INFO    ] [services.logging_service] [INFO]   Mur V : X=-6.42m | L=3.73m | Y=[-2.33..1.40]m
[2026-02-26 09:34:56.071] [INFO    ] [services.logging_service] [INFO]     Mur 3.73m : 1 intervalles, portée 3.73m
[2026-02-26 09:34:56.079] [INFO    ] [services.logging_service] [INFO]     Snap intersection mur perp : -2.329m -> -2.329m (dist=0.000m)
[2026-02-26 09:34:56.084] [INFO    ] [services.logging_service] [INFO]     -> 2 poteaux placés
[2026-02-26 09:34:56.091] [INFO    ] [services.logging_service] [INFO]   Sous-total avant dédoublonnage: 33 points
[2026-02-26 09:34:56.105] [INFO    ] [services.logging_service] [INFO]   Après dédoublonnage: 28 points
[2026-02-26 09:34:56.120] [INFO    ] [services.logging_service] [INFO]   Espacement min 2.0m: 10 supprimés
[2026-02-26 09:34:56.128] [INFO    ] [services.logging_service] [INFO]   (Premier niveau - pas de continuité)
